model,dataset,topic_id,top_terms,topic_size
C-Top2Vec,Wiki_clean_text_v2,33,"הקומוניזם, הפסיכולוגיה, הסוציאליזם, הפילוסופיה, הסוציולוגיה, האידאולוגיה, הפילוסוף, האלוהות, הרפואה, תורתו, הטקטיקה, ההתפתחות",21053
C-Top2Vec,Wiki_clean_text_v2,34,"מטבעות, מטבע, המטבע, שווי, המטבעות, סכום, הסכום, שטרות, בתרבויות, בסכום, האירו, הדולר",20659
C-Top2Vec,Wiki_clean_text_v2,35,"אנטיגונוס, המיראז, גנו, קיימברידג, אנטיפטרוס, צאצאיו, הגאולוגי, רוריקלא, פוטו, אפריקני, קרני, מורגנטאו",20634
C-Top2Vec,Wiki_clean_text_v2,36,"טמפרטורות, הטמפרטורות, בטמפרטורות, הגשמים, הטמפרטורה, קור, גשמים, בקיץ, רוחות, מעלות, מזג, טמפרטורת",19793
C-Top2Vec,Wiki_clean_text_v2,37,"דיכוי, הכובש, הכיבוש, האפרטהייד, כובש, הקולוניאלית, הנאצי, החלש, בתרבויות, ניצול, ההונגרי, ההודי",19381
C-Top2Vec,Wiki_clean_text_v2,38,"חטיבת, חטיבות, החטיבה, יחידת, פלוגת, מפקדי, גדודי, טייסת, פיקודו, ביחידה, סיירת, בחיל",19349
C-Top2Vec,Wiki_clean_text_v2,39,"הפרס, הוענקו, בפרס, פרסים, הוקרה, הוענק, פרס, זכה, מדליית, תוארו, זוכה, עיטור",19073
C-Top2Vec,Wiki_clean_text_v2,40,"ההגייה, מסמנים, בהגייה, מסמן, לסמן, הסימן, סימן, אותיות, כשפה, עיצור, שמשמעותה, היפוך",18854
C-Top2Vec,Wiki_clean_text_v2,41,"אנטיגונוס, העידן, הגאולוגי, תקופתו, בעשורים, קיימברידג, היווצרות, המיראז, פולינום, ובתקופה, בתקופה, בעידן",18514
C-Top2Vec,Wiki_clean_text_v2,42,"רפואי, מערך, חילוץ, דיפלומט, צוותי, ציוד, סיוע, נציב, טלסקופ, אגף, רופא, קצין",18321
C-Top2Vec,Wiki_clean_text_v2,43,"גדר, תוואי, שכונות, מבנים, בתרבויות, כבישים, הרחובות, חומה, בניינים, גבולותיה, אזורים, הריסת",18317
C-Top2Vec,Wiki_clean_text_v2,44,"עיצור, גלגלי, מוליכים, כביש, ציר, מנגנון, בכביש, העיצורים, נתיבי, ההילוכים, המהירות, דימות",18251
